,Div,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,bet_favorite,compare
514,F2,Valenciennes,Grenoble,A,3.1,3.0,2.25,A,True
515,F2,Le Havre,Paris FC,H,3.2,3.0,2.2,A,False
516,F2,Troyes,Toulouse,D,2.05,3.4,3.5,H,False
517,F2,Auxerre,Guingamp,D,1.9,3.4,4.0,H,False
518,F2,Caen,Niort,H,2.15,3.2,3.6,H,True
519,F2,Chateauroux,Le Havre,A,2.55,3.0,2.9,H,False
520,F2,Clermont,Chambly,H,,,,,False
521,F2,Dunkerque,Nancy,A,2.8,2.87,2.8,H,False
522,F2,Grenoble,Amiens,D,2.2,3.0,3.6,H,False
523,F2,Pau FC,Paris FC,D,3.8,3.0,2.1,A,False
524,F2,Troyes,Rodez,H,1.6,3.6,6.0,H,True
525,F2,Sochaux,Valenciennes,H,2.1,3.1,3.75,H,True
526,F2,Toulouse,Ajaccio,H,1.8,3.2,4.75,H,True
527,F2,Valenciennes,Troyes,D,4.5,3.3,1.85,A,False
528,F2,Ajaccio,Clermont,A,3.9,3.0,2.1,A,True
529,F2,Amiens,Sochaux,A,2.7,2.8,3.1,H,False
530,F2,Chambly,Auxerre,A,5.75,3.75,1.61,A,True
531,F2,Le Havre,Dunkerque,D,1.65,3.6,5.5,H,False
532,F2,Nancy,Grenoble,A,2.75,3.1,2.62,A,True
533,F2,Niort,Pau FC,H,2.45,2.62,3.5,H,True
534,F2,Paris FC,Chateauroux,H,1.95,3.4,3.8,H,True
535,F2,Rodez,Toulouse,H,3.8,3.3,2.0,A,False
536,F2,Guingamp,Caen,D,2.2,3.2,3.25,H,False
537,F2,Toulouse,Amiens,H,1.85,3.4,4.33,H,True
538,F2,Troyes,Ajaccio,H,1.75,3.4,5.0,H,True
